WB-1044190	WB-1044191	WB-1044192
ENSG00000000003	5	5	5
ENSG00000000005	0	0	0
ENSG00000000419	5	5	5
ENSG00000000457	6	6	6
ENSG00000000460	1	1	1
ENSG00000000938	0	0	0
ENSG00000000971	0	0	0
ENSG00000001036	0	0	0
ENSG00000001084	1	1	1
ENSG00000001167	9	9	9
ENSG00000001460	1	1	1
ENSG00000001461	8	8	8
ENSG00000001497	15	15	15
ENSG00000001561	3	3	3
ENSG00000001617	4	4	4
ENSG00000001626	0	0	0
ENSG00000001629	25	25	25
ENSG00000001630	19	19	19
ENSG00000001631	4	4	4
ENSG00000002016	2	2	2
ENSG00000002079	0	0	0
ENSG00000002330	8	8	8
ENSG00000002549	0	0	0
ENSG00000002586	2	2	2
ENSG00000002587	1	1	1
ENSG00000002726	0	0	0
ENSG00000002745	0	0	0
ENSG00000002746	15	15	15
ENSG00000002822	7	7	7
ENSG00000002834	70	70	70
ENSG00000002919	2	2	2
ENSG00000002933	0	0	0
ENSG00000003056	15	15	15
ENSG00000003096	20	20	20
ENSG00000003137	0	0	0
ENSG00000003147	5	5	5
ENSG00000003249	6	6	6
ENSG00000003393	20	20	20
ENSG00000003400	0	0	0
ENSG00000003402	12.311	12.311	12.311
ENSG00000003436	3	3	3
ENSG00000003509	1	1	1
ENSG00000003756	46.999	47	47
ENSG00000003987	7	7	7
ENSG00000003989	0	0	0
ENSG00000004059	32	32	32
ENSG00000004139	32	32	32
ENSG00000004142	19	19	19
ENSG00000004399	0	0	0
ENSG00000004455	6	6	6
ENSG00000004468	0	0	0
ENSG00000004478	28	28	28
ENSG00000004487	51	51	51.001
ENSG00000004534	26	26	26
ENSG00000004660	6.028	6.028	6.028
ENSG00000004700	1	1	1
ENSG00000004766	8	8	8
ENSG00000004776	0	0	0
ENSG00000004777	62	62	62
ENSG00000004779	15	15	15
ENSG00000004799	0	0	0
ENSG00000004809	0	0	0
ENSG00000004838	1	1	1
ENSG00000004846	1	1	1
ENSG00000004848	17	17	17
ENSG00000004864	16	16	16
ENSG00000004866	11	11	11
ENSG00000004897	16	16	16
ENSG00000004939	0	0	0
ENSG00000004948	0	0	0
ENSG00000004961	3	3	3
ENSG00000004975	5	5	5
ENSG00000005001	0	0	0
ENSG00000005007	23	23	23
ENSG00000005020	0	0	0
ENSG00000005022	31	31	31
ENSG00000005059	0	0	0
ENSG00000005073	0	0	0
ENSG00000005075	8.9	8.898	8.903
ENSG00000005100	11	11	11
ENSG00000005102	0	0	0
ENSG00000005108	8	8	8
ENSG00000005156	11	11	11
ENSG00000005175	8	8	8
ENSG00000005187	0	0	0
ENSG00000005189	0	0	0
ENSG00000005194	18	18	18
ENSG00000005206	15	15	15
ENSG00000005238	14	14	14
ENSG00000005243	0	0	0
ENSG00000005249	48	48	48
ENSG00000005302	6	6	6
ENSG00000005339	45.999	46	46
ENSG00000005379	26	26	26
ENSG00000005381	0	0	0
ENSG00000005421	0	0	0
ENSG00000005436	0	0	0
ENSG00000005448	5	5	5
ENSG00000005469	2	2	2
ENSG00000005471	0	0	0
ENSG00000005483	54	54	54
ENSG00000005486	27	27	27
ENSG00000005513	2	2	2
ENSG00000005700	18	18	18
ENSG00000005801	13	13	13
ENSG00000005810	67	67	67.001
ENSG00000005812	5	5	5
ENSG00000005844	1	1	1
ENSG00000005882	2	2	2
ENSG00000005884	21.985	21.985	21.985
ENSG00000005889	6	6	6
ENSG00000005893	11	11	11
ENSG00000005961	2	2	2
ENSG00000005981	1	1	1
ENSG00000006007	9	9	9
ENSG00000006015	4.001	4.001	4.001
ENSG00000006016	0	0	0
ENSG00000006025	4	4	4
ENSG00000006042	4	4	4
ENSG00000006047	0	0	0
ENSG00000006062	3	3	3
ENSG00000006071	5	5	5
ENSG00000006116	0	0	0
ENSG00000006118	82.999	83	83
ENSG00000006125	161	161	161
ENSG00000006128	44	44	44
ENSG00000006194	9	9	9
ENSG00000006210	2	2	2
ENSG00000006282	8	8	8
ENSG00000006283	11	11	11
ENSG00000006327	2	2	2
ENSG00000006377	19	19	19
ENSG00000006432	46	46	46
ENSG00000006451	15	15	15
ENSG00000006453	0	0	0
ENSG00000006459	11	11	11
ENSG00000006468	1	1	1
ENSG00000006530	1.826	1.825	1.825
ENSG00000006534	1	1	1
ENSG00000006555	0.998	0.998	0.998
ENSG00000006576	10	10	10
ENSG00000006606	0	0	0
ENSG00000006607	5	5	5
ENSG00000006611	0	0	0
ENSG00000006625	4.553	4.553	4.553
ENSG00000006634	3	3	3
ENSG00000006638	2.028	2.028	2.028
ENSG00000006652	15	15	15
ENSG00000006659	0	0	0
ENSG00000006695	8	8	8
ENSG00000006704	17	17	17
ENSG00000006712	14	14	14
ENSG00000006715	20.999	21	21
ENSG00000006740	4	4	4
ENSG00000006744	5	5	5
ENSG00000006747	0	0	0
ENSG00000006756	10	10	10
ENSG00000006757	3	3	3
ENSG00000006788	0	0	0
ENSG00000006831	4	4	4
ENSG00000006837	0	0	0
ENSG00000007001	0	0	0
ENSG00000007038	0	0	0
ENSG00000007047	20.999	21	21
ENSG00000007062	3	3	3
ENSG00000007080	12	12	12
ENSG00000007129	0	0	0
ENSG00000007168	111	111	111
ENSG00000007171	1	1	1
ENSG00000007174	0	0	0
ENSG00000007202	47	47	47
ENSG00000007216	0	0	0
ENSG00000007237	23	23	23
ENSG00000007255	1	1	1
ENSG00000007264	0	0	0
ENSG00000007306	0	0	0
ENSG00000007312	0	0	0
ENSG00000007314	0	0	0
ENSG00000007341	0	0	0
ENSG00000007350	0	0	0
ENSG00000007372	92.001	92	92.001
ENSG00000007376	8	8	8
ENSG00000007384	2	2	2
ENSG00000007392	23	23.001	23
ENSG00000007402	39	39	39
ENSG00000007516	50	50	50.001
ENSG00000007520	8	8	8
ENSG00000007541	16	16	16
ENSG00000007545	14.745	14.747	14.745
ENSG00000007866	0	0	0
ENSG00000007908	0	0	0
ENSG00000007923	6	6	6
ENSG00000007933	0	0	0
ENSG00000007944	4	4	4
ENSG00000007952	0	0	0
ENSG00000007968	1	1	1
ENSG00000008018	23	23	23
ENSG00000008056	20	20	20
ENSG00000008083	25	25	25
ENSG00000008086	11.238	11.238	11.238
ENSG00000008118	4	4	4
ENSG00000008128	2.555	2.555	2.555
ENSG00000008130	20	20	20
ENSG00000008196	0	0	0
ENSG00000008197	0	0	0
ENSG00000008226	0	0	0
ENSG00000008256	10	10	10
ENSG00000008277	19	19	19
ENSG00000008282	0	0	0
ENSG00000008283	8	8	8
ENSG00000008294	65.001	65	65
ENSG00000008300	111.001	111	110.999
ENSG00000008311	0	0	0
ENSG00000008323	0	0	0
ENSG00000008324	2	2	2
ENSG00000008382	8	8	8
ENSG00000008394	0	0	0
ENSG00000008405	13	13	13
ENSG00000008438	0	0	0
ENSG00000008441	0	0	0
ENSG00000008513	14	14	14
ENSG00000008516	0	0	0
ENSG00000008517	0	0	0
ENSG00000008710	79.234	79.235	79.232
ENSG00000008735	51.669	51.671	51.67
ENSG00000008838	53	52.999	52.999
ENSG00000008853	51	51	51
ENSG00000008869	18	18	18
ENSG00000008952	22.01	22.011	22.011
ENSG00000008988	44	44	44
ENSG00000009307	116	116	116
ENSG00000009335	20	20	20
ENSG00000009413	34.688	34.689	34.689
ENSG00000009694	15	15	15
ENSG00000009709	0	0	0
ENSG00000009724	0	0	0
ENSG00000009765	1.065	1.065	1.065
ENSG00000009780	1	1	1
ENSG00000009790	0	0	0
ENSG00000009830	12	12	12
ENSG00000009844	13	13	13
ENSG00000009950	1	1	1
ENSG00000009954	37	37	37
ENSG00000010017	21	21	21
ENSG00000010030	0	0	0
ENSG00000010072	7	7	7
ENSG00000010165	7	7	7
ENSG00000010219	4	4	4
ENSG00000010244	32.002	32.003	32.002
ENSG00000010256	27	27	27
ENSG00000010270	32	32	32
ENSG00000010278	0	0	0
ENSG00000010282	0	0	0
ENSG00000010292	7	7	7
ENSG00000010295	3	3	3
ENSG00000010310	3	3	3
ENSG00000010318	1	1	1
ENSG00000010319	0	0	0
ENSG00000010322	63	63	63.001
ENSG00000010327	0	0	0
ENSG00000010361	2	2	2
ENSG00000010379	0	0	0
ENSG00000010404	92.987	92.987	92.98
ENSG00000010438	0	0	0
ENSG00000010539	6	6	6
ENSG00000010610	0	0	0
ENSG00000010626	0	0	0
ENSG00000010671	0	0	0
ENSG00000010704	0	0	0
ENSG00000010803	26	26	26
ENSG00000010810	38	38.001	38
ENSG00000010818	19	19	19
ENSG00000010932	0	0	0
ENSG00000011007	14	14	14
ENSG00000011009	15	15	15
ENSG00000011021	13	13	13
ENSG00000011028	3	3	3
ENSG00000011052	0	0	0
ENSG00000011083	0	0	0
ENSG00000011105	9	9	9
ENSG00000011132	5	5	5
ENSG00000011143	1	1	1
ENSG00000011198	5	5	5
ENSG00000011201	11	11	11
ENSG00000011243	30	30	30
ENSG00000011258	11	11	11
ENSG00000011260	6	6	6
ENSG00000011275	15	15	15
ENSG00000011295	17	17	17
ENSG00000011304	13	13	13.001
ENSG00000011332	22	22	22
ENSG00000011347	42	42	42
ENSG00000011376	4	4	4
ENSG00000011405	6	6	6
ENSG00000011422	0	0	0
ENSG00000011426	1	1	1
ENSG00000011451	36	36	36
ENSG00000011454	27	27	27
ENSG00000011465	0	0	0
ENSG00000011478	2	2	2
ENSG00000011485	14	14	14
ENSG00000011523	11	11	11
ENSG00000011566	13	13	13
ENSG00000011590	0	0	0
ENSG00000011600	0	0	0
ENSG00000011638	3	3	3
ENSG00000011677	21	21	21
ENSG00000012048	0	0	0
ENSG00000012061	9	9	9
ENSG00000012124	0	0	0
ENSG00000012171	5	5	5
ENSG00000012174	11	11	11
ENSG00000012211	0	0	0
ENSG00000012223	0	0	0
ENSG00000012232	44	44	44
ENSG00000012504	0	0	0
ENSG00000012660	11	11	11
ENSG00000012779	0	0	0
ENSG00000012817	0	0	0
ENSG00000012822	32.001	32	32
ENSG00000012963	0	0	0
ENSG00000012983	18	18	18
ENSG00000013016	1.692	1.692	1.691
ENSG00000013275	24	24	24
ENSG00000013288	6	6	6
ENSG00000013293	3	3	3
ENSG00000013297	0	0	0
ENSG00000013306	12	12	12
ENSG00000013364	4	4	4
ENSG00000013374	16	16	16
ENSG00000013375	5	5	5
ENSG00000013392	2	2	2
ENSG00000013441	15	15	15
ENSG00000013503	3	3	3
ENSG00000013523	6	6	6
ENSG00000013561	7	7	7
ENSG00000013563	2	2	2
ENSG00000013573	2	2	2
ENSG00000013583	1	1	1
ENSG00000013588	0	0	0
ENSG00000013619	12	12	12
ENSG00000013725	0	0	0
ENSG00000013810	1	1	1
ENSG00000014123	8	8	8
ENSG00000014138	0	0	0
ENSG00000014164	10	10	10
ENSG00000014216	30	30.001	30.001
ENSG00000014257	0	0	0
ENSG00000014641	32	32	32
ENSG00000014824	34	34	34
ENSG00000014914	1	1	1
ENSG00000014919	10	10	10
ENSG00000015133	11	11	11
ENSG00000015153	3	3	3
ENSG00000015171	39	39	39
ENSG00000015285	0	0	0
ENSG00000015413	0	0	0
ENSG00000015475	2	2	2
